Model,Average ⬆️,Submission Date,Hub License,Type,#Params (B),rebuilt
AI-MO/NuminaMath-7B-CoT,16.118457218023075,2024-09-10,apache-2.0,🔶 fine-tuned on domain-specific datasets,6.91,29.937106918238992
AI-MO/NuminaMath-7B-TIR,14.182289143173431,2024-07-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,6.91,24.159928122192273
AI-Sweden-Models/Llama-3-8B-instruct,14.343669671742774,2024-06-27,llama3,🔶 fine-tuned on domain-specific datasets,8.03,35.16621743036837
AI-Sweden-Models/gpt-sw3-40b,4.872902485288683,2024-06-26,other,🟢 pretrained,39.927,12.255166217430368
AI4free/Dhanishtha,11.247711953182252,2025-02-19,apache-2.0,🟩 continuously pretrained,1.777,29.64061096136567
AI4free/t2,11.33461581083953,2025-02-27,,🤝 base merges and moerges,7.613,29.424977538185086
AIDC-AI/Marco-o1,27.639223265636087,2025-01-31,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,55.87601078167116
Aashraf995/Creative-7B-nerd,29.97819251596781,2024-12-13,apache-2.0,🤝 base merges and moerges,7.616,78.61635220125787
Aashraf995/Gemma-Evo-10B,34.32632733409121,2024-12-13,apache-2.0,🤝 base merges and moerges,10.159,85.07637017070978
Aashraf995/Qwen-Evo-7B,30.275058582706105,2024-12-13,apache-2.0,🤝 base merges and moerges,7.616,79.1464510332435
Aashraf995/QwenStock-14B,37.13002133952593,2024-12-13,apache-2.0,🤝 base merges and moerges,14.766,88.77807726864332
AbacusResearch/Jallabi-34B,26.18608192071653,2024-06-27,apache-2.0,🤝 base merges and moerges,34.389,70.27852650494161
Ahdoot/StructuredThinker-v0.3-MoreStructure,23.924082152035727,2025-01-01,,🤝 base merges and moerges,3.397,59.40700808625338
Ahdoot/Test_StealthThinker,22.06904758264274,2025-01-05,mit,🔶 fine-tuned on domain-specific datasets,3.086,57.16082659478886
AicoresSecurity/Cybernet-Sec-3B-R1-V0,20.584200054790823,2025-02-26,,🔶 fine-tuned on domain-specific datasets,3.213,40.20664869721474
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,22.930540293017284,2025-02-26,,🔶 fine-tuned on domain-specific datasets,3.213,46.41509433962265
AicoresSecurity/Cybernet-Sec-3B-R1-V1,19.9979903395144,2025-03-07,,🔶 fine-tuned on domain-specific datasets,3.213,38.966756513926335
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,22.6434068109946,2025-03-07,,🔶 fine-tuned on domain-specific datasets,3.213,46.720575022461816
Alepach/notHumpback-M0,5.137220097878128,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",3.213,12.2911051212938
Alepach/notHumpback-M1,4.779297887614574,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",3.213,10.233602875112307
Alepach/notHumpback-M1-v2,5.206724746715221,2025-01-19,,"💬 chat models (RLHF, DPO, IFT, ...)",3.213,11.536388140161726
Alibaba-NLP/gte-Qwen2-7B-instruct,13.834176058521932,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.613,26.010781671159027
Alsebay/Qwen2.5-7B-test-novelist,27.172849099811742,2024-12-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.616,68.63432165318957
Amaorynho/BBAI2006,3.4638352160730896,2025-02-27,,🤝 base merges and moerges,1.09,7.583108715184188
Amaorynho/BBAI270V4,4.549298117195413,2025-02-26,,🤝 base merges and moerges,7.616,8.194070080862534
Amaorynho/BBAIIFEV1,30.577013862416408,2025-03-01,,🤝 base merges and moerges,8.03,75.46271338724169
Amaorynho/BBAI_375,3.4638352160730896,2025-02-27,,🤝 base merges and moerges,1.09,7.583108715184188
Amu/t1-1.5B,12.141383312461109,2025-03-08,mit,🔶 fine-tuned on domain-specific datasets,1.777,26.064690026954178
Amu/t1-3B,11.160895171582572,2025-03-13,mit,"💬 chat models (RLHF, DPO, IFT, ...)",3.397,26.109613656783466
ArliAI/ArliAI-RPMax-12B-v1.1,20.976339912086196,2024-09-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,46.3611859838275
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,23.942143268323218,2024-09-19,llama3,🔶 fine-tuned on domain-specific datasets,8.03,51.868823000898466
Arthur-LAGACHERIE/Precis-1B-Instruct,8.848710962428209,2025-01-19,llama3.2,🔶 fine-tuned on domain-specific datasets,1.236,18.62533692722372
Artples/L-MChat-7b,21.238493444242582,2024-07-07,apache-2.0,🤝 base merges and moerges,7.242,53.42318059299191
Artples/L-MChat-Small,15.23132798262929,2024-07-07,mit,🤝 base merges and moerges,2.78,30.799640610961365
Aryanne/QwentileSwap,43.91650770857709,2025-02-05,apache-2.0,🤝 base merges and moerges,32.764,94.42946990116802
Aryanne/SHBA,29.875548231649606,2025-01-11,,🤝 base merges and moerges,8.03,72.73135669362084
Aryanne/SuperHeart,25.55719928277682,2024-09-23,llama3.1,🤝 base merges and moerges,8.03,68.08625336927223
AtAndDev/Qwen2.5-1.5B-continuous-learnt,16.518524239214223,2024-10-13,,🔶 fine-tuned on domain-specific datasets,1.544,36.307277628032345
AtAndDev/Qwen2.5-1.5B-continuous-learnt,17.483555890459094,2024-10-18,,"💬 chat models (RLHF, DPO, IFT, ...)",1.544,36.307277628032345
Ateron/Glowing-Forest-12B,22.612024614962053,2025-03-06,,🤝 base merges and moerges,12.248,65.66936208445642
Ateron/Lotus-Magpic,25.49856357813722,2025-03-05,,🤝 base merges and moerges,12.248,64.78885893980232
Ateron/Way_of_MagPicaro,20.630569141650984,2025-03-05,,🤝 base merges and moerges,12.248,61.97663971248877
AuraIndustries/Aura-4B,16.063480369846303,2024-12-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",4.513,39.65858041329739
AuraIndustries/Aura-8B,27.363297533889394,2024-12-10,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,63.513027852650495
AuraIndustries/Aura-MoE-2x4B,16.79797839924053,2024-12-14,,"💬 chat models (RLHF, DPO, IFT, ...)",7.231,39.26325247079964
AuraIndustries/Aura-MoE-2x4B-v2,17.515881576703762,2024-12-15,,"💬 chat models (RLHF, DPO, IFT, ...)",7.231,41.75202156334232
Aurel9/testmerge-7b,20.96930213435916,2024-11-16,,🤝 base merges and moerges,7.242,57.4932614555256
Ayush-Singh/Llama1B-sft-2,3.169322945076769,2025-02-05,,🔶 fine-tuned on domain-specific datasets,1.236,6.361185983827493
Azure99/Blossom-V6-14B,32.80581546858162,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.77,56.14555256064689
Azure99/Blossom-V6-7B,31.04565038906736,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,64.60017969451931
Azure99/blossom-v5-32b,27.724659940062114,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",32.512,66.85534591194968
Azure99/blossom-v5-llama3-8b,14.598962808998438,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,31.428571428571427
Azure99/blossom-v5.1-34b,30.298681690900175,2024-07-27,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.389,69.82030548068283
Azure99/blossom-v5.1-9b,26.470194407631528,2024-07-24,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.829,65.56154537286612
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,22.607935619579848,2024-09-05,,🔶 fine-tuned on domain-specific datasets,9.242,54.159928122192284
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,35.578242909223654,2024-06-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,70.554,84.77987421383646
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,22.29353000800769,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,56.63971248876909
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,36.91009196843762,2024-08-30,apache-2.0,🔶 fine-tuned on domain-specific datasets,70.554,87.26864330637915
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,22.06253195877917,2024-07-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,45.77717879604672
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,22.843425216048672,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,55.57053009883198
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,26.199808011295485,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.616,60.880503144654085
BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,28.14496041142372,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.829,76.66666666666666
BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,23.447423677135685,2024-08-05,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,51.16801437556154
BAAI/Infinity-Instruct-7M-0729-mistral-7B,23.21644934658775,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,52.785265049416
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,37.48445364047765,2024-09-26,llama3.1,🔶 fine-tuned on domain-specific datasets,70.554,88.96675651392631
BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,23.447423677135685,2024-08-29,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,51.16801437556154
BAAI/Infinity-Instruct-7M-Gen-mistral-7B,23.191053766563783,2024-08-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,52.76729559748428
BAAI/OPI-Llama-3.1-8B-Instruct,8.531604396997649,2024-09-21,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,17.951482479784364
BEE-spoke-data/Meta-Llama-3-8Bee,14.657811877680324,2024-07-04,llama3,🔶 fine-tuned on domain-specific datasets,8.03,38.29290206648697
BEE-spoke-data/smol_llama-101M-GQA,4.019599868138451,2024-07-06,apache-2.0,🟢 pretrained,0.101,9.973045822102426
BEE-spoke-data/smol_llama-220M-GQA,6.577800964187134,2024-06-26,apache-2.0,🟢 pretrained,0.218,16.864330637915543
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,6.629850832257909,2024-06-26,apache-2.0,🟩 continuously pretrained,0.218,19.69451931716083
BEE-spoke-data/smol_llama-220M-openhermes,4.938005238605682,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.218,14.106019766397123
BEE-spoke-data/tFINE-900m-e16-d32-flan,4.597533011984676,2024-09-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.887,10.188679245283017
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,5.999886320692095,2024-09-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.887,19.78436657681941
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,5.908138429401099,2024-09-22,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.887,18.751123090745732
BEE-spoke-data/tFINE-900m-instruct-orpo,3.69630792495429,2024-09-23,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.887,8.481581311769991
BSC-LT/salamandra-7b,5.704911444345451,2024-11-22,apache-2.0,🟢 pretrained,7.768,15.570530098831986
BSC-LT/salamandra-7b-instruct,10.181243697003833,2024-11-22,apache-2.0,🟢 pretrained,7.768,27.169811320754718
Ba2han/Llama-Phi-3_DoRA,25.4698950011544,2024-06-26,mit,🔶 fine-tuned on domain-specific datasets,3.821,67.16082659478886
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,41.30426754456703,2025-02-28,apache-2.0,🤝 base merges and moerges,72.706,90.86253369272237
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,42.26732013588396,2024-11-24,,🤝 base merges and moerges,72.7,80.04492362982928
BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,15.07109165755061,2024-09-22,apache-2.0,🤝 base merges and moerges,28.309,36.909254267744835
BlackBeenie/Bloslain-8B-v0.2,23.803914231544336,2024-11-19,,🤝 base merges and moerges,8.03,61.419586702605564
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,21.4004099666704,2024-12-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,45.462713387241685
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,7.3995789368526035,2024-11-06,,🤝 base merges and moerges,20.245,20.745732255166217
BlackBeenie/Neos-Gemma-2-9b,25.475663495967385,2024-11-11,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",9.242,62.60557053009883
BlackBeenie/Neos-Llama-3.1-8B,19.51217705998031,2024-11-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,43.863432165318955
BlackBeenie/Neos-Llama-3.1-base,3.968794754491314,2024-11-11,,"💬 chat models (RLHF, DPO, IFT, ...)",4.65,6.460017969451933
BlackBeenie/Neos-Phi-3-14B-v0.1,27.032306783654636,2024-11-27,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",13.96,69.50584007187781
BlackBeenie/llama-3-luminous-merged,21.618577268829103,2024-10-11,,🤝 base merges and moerges,8.03,57.268643306379154
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,18.37421537036845,2024-10-19,,🔶 fine-tuned on domain-specific datasets,8.03,52.79424977538185
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,19.01285199149148,2024-12-16,llama3.2,🔶 fine-tuned on domain-specific datasets,5.199,45.45372866127583
BoltMonkey/DreadMix,28.76173172145654,2024-10-13,,🤝 base merges and moerges,8.03,69.80233602875113
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,27.776634015071924,2024-10-10,llama3.1,🤝 base merges and moerges,8.03,53.944294699011685
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,21.345510590269537,2024-10-01,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,53.944294699011685
BoltMonkey/SuperNeuralDreadDevil-8b,27.11105496878025,2024-10-13,,🤝 base merges and moerges,8.03,63.53998203054807
BrainWave-ML/llama3.2-3B-maths-orpo,5.07608283209792,2024-10-24,apache-2.0,🔶 fine-tuned on domain-specific datasets,3.0,11.024258760107815
BramVanroy/GEITje-7B-ultra,11.02289881921654,2024-10-28,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.242,21.9047619047619
BramVanroy/fietje-2,9.140300477810824,2024-10-28,mit,🟩 continuously pretrained,2.78,20.188679245283016
BramVanroy/fietje-2-chat,10.615455210257904,2024-10-28,mit,"💬 chat models (RLHF, DPO, IFT, ...)",2.775,20.071877807726864
BramVanroy/fietje-2-instruct,10.48571837435655,2024-10-28,mit,"💬 chat models (RLHF, DPO, IFT, ...)",2.775,18.265947888589398
CYFRAGOVPL/Llama-PLLuM-8B-base,14.51887667865397,2025-02-28,llama3.1,🟩 continuously pretrained,8.03,37.03504043126685
CYFRAGOVPL/Llama-PLLuM-8B-chat,14.61481701543444,2025-02-28,llama3.1,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,36.38814016172507
CYFRAGOVPL/PLLuM-12B-base,14.667469455106152,2025-02-28,apache-2.0,🟩 continuously pretrained,12.248,39.97304582210242
CYFRAGOVPL/PLLuM-12B-chat,15.34838688249824,2025-02-28,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",12.248,34.330637915543576
CYFRAGOVPL/PLLuM-12B-nc-base,11.421222164941392,2025-02-28,cc-by-nc-4.0,🟩 continuously pretrained,12.248,26.657681940700805
CYFRAGOVPL/PLLuM-12B-nc-chat,14.598342751082509,2025-02-28,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",12.248,40.13477088948787
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,23.50945092474288,2024-12-20,llama3.2,"💬 chat models (RLHF, DPO, IFT, ...)",3.213,39.721473495058405
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,20.301755342918195,2024-12-19,llama3.2,"💬 chat models (RLHF, DPO, IFT, ...)",3.213,50.062893081761004
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,25.899338809216697,2024-07-02,llama3,🤝 base merges and moerges,8.03,57.61904761904761
CausalLM/14B,17.235580154596317,2024-06-12,wtfpl,🔶 fine-tuned on domain-specific datasets,14.0,45.732255166217435
CausalLM/34b-beta,23.29783304542188,2024-06-26,gpl-3.0,🔶 fine-tuned on domain-specific datasets,34.389,59.649595687331534
CausalLM/preview-1-hf,16.706753161023286,2025-01-26,,🔶 fine-tuned on domain-specific datasets,9.543,33.53099730458221
Changgil/K2S3-14b-v0.2,15.275784761251336,2024-06-27,cc-by-nc-4.0,🔶 fine-tuned on domain-specific datasets,14.352,37.96945193171609
Changgil/K2S3-v0.1,14.839283995827836,2024-06-27,cc-by-nc-4.0,🔶 fine-tuned on domain-specific datasets,14.352,35.73225516621743
ClaudioItaly/Albacus,20.505574062384014,2024-09-08,mit,🤝 base merges and moerges,8.987,49.30817610062893
ClaudioItaly/Book-Gut12B,23.39409811229197,2024-09-17,mit,🤝 base merges and moerges,12.248,65.1392632524708
ClaudioItaly/Evolutionstory-7B-v2.2,20.810835332574907,2024-09-01,mit,🤝 base merges and moerges,7.242,50.20664869721473
ClaudioItaly/intelligence-cod-rag-7b-v3,31.836966345244434,2024-12-02,mit,🔶 fine-tuned on domain-specific datasets,7.616,63.18957771787961
CohereForAI/aya-23-35B,24.755408446939654,2024-06-12,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.981,58.75112309074573
CohereForAI/aya-23-8B,16.010983148168723,2024-06-12,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.028,37.133872416891286
CohereForAI/aya-expanse-32b,29.71851012657705,2024-10-24,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",32.296,71.23090745732256
CohereForAI/aya-expanse-8b,22.406573697993498,2024-10-24,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.028,51.36567834681042
CohereForAI/c4ai-command-r-plus,30.936070612618508,2024-06-13,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",103.811,76.92722371967655
CohereForAI/c4ai-command-r-plus-08-2024,33.647474595578004,2024-09-19,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",103.811,83.80053908355795
CohereForAI/c4ai-command-r-v01,25.929031834951832,2024-06-13,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",34.981,60.017969451931705
CohereForAI/c4ai-command-r7b-12-2024,31.61752928799648,2024-12-20,cc-by-nc-4.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.028,73.59389038634322
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.483994762243412,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",2.506,30.808625336927225
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.26209259662469,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",2.506,30.808625336927225
Columbia-NLP/LION-Gemma-2b-odpo-v1.0,11.897378852943028,2024-07-13,,"💬 chat models (RLHF, DPO, IFT, ...)",2.506,31.743036837376465
Columbia-NLP/LION-Gemma-2b-sft-v1.0,12.60325045021582,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",2.506,31.922731356693628
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,21.78540431507501,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,51.91374663072775
Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,19.85320809199725,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,48.16711590296496
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,20.74886229970928,2024-07-04,,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,53.54896675651393
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,41.765081012881176,2024-12-07,apache-2.0,🤝 base merges and moerges,14.77,72.65947888589398
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,35.36673047341537,2024-10-29,apache-2.0,🤝 base merges and moerges,7.616,59.94609164420485
CombinHorizon/YiSM-blossom5.1-34B-SLERP,31.37993020523676,2024-08-27,apache-2.0,🤝 base merges and moerges,34.389,80.92542677448338
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,45.6578470977455,2024-12-07,apache-2.0,🤝 base merges and moerges,32.764,76.12758310871519
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,41.46621085774212,2024-12-07,apache-2.0,🤝 base merges and moerges,14.77,71.49146451033243
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,46.76362120574333,2024-12-20,apache-2.0,🤝 base merges and moerges,32.764,78.84097035040432
ContactDoctor/Bio-Medical-3B-CoT-012025,18.73071055946323,2025-01-15,other,🔶 fine-tuned on domain-specific datasets,3.085,41.44654088050315
ContactDoctor/Bio-Medical-Llama-3-8B,19.91745266981443,2024-12-24,other,🔶 fine-tuned on domain-specific datasets,4.015,51.18598382749327
CoolSpring/Qwen2-0.5B-Abyme,4.999994251217356,2024-09-04,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.494,11.752021563342318
CoolSpring/Qwen2-0.5B-Abyme-merge2,6.320258162859158,2024-07-27,apache-2.0,🤝 base merges and moerges,0.63,16.127583108715186
CoolSpring/Qwen2-0.5B-Abyme-merge3,6.8201960830112,2024-07-27,apache-2.0,🤝 base merges and moerges,0.63,16.316262353998205
Corianas/Neural-Mistral-7B,18.200438567718397,2024-12-06,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.242,40.35040431266846
