Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training time (hours),Training time notes,Training hardware,Approach,Confidence,Abstract,Epochs,WikiText and Penn Treebank data,Model accessibility,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization (MFU),Last modified,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Training compute cost (2023 USD),Utilization notes,Numerical format,Frontier model,Training power draw (W),Training compute estimation method,Hugging Face developer id,Post-training compute (FLOP),Post-training compute notes,Hardware utilization (HFU),Open model weights?,short,license_open,hub_license,weights_open
StarCoder 2 15B,Language,"Code generation,Code autocompletion","Hugging Face,ServiceNow,NVIDIA,BigCode","Anton Lozhkov, Raymond Li, Loubna Ben Allal, Federico Cassano, Joel Lamy-Poirier, Nouamane Tazi, Ao Tang, Dmytro Pykhtar, Jiawei Liu, Yuxiang Wei, Tianyang Liu, Max Tian, Denis Kocetkov, Arthur Zucker, Younes Belkada, Zijian Wang, Qian Liu, Dmitry Abulkhanov, Indraneil Paul, Zhuang Li, Wen-Ding Li, Megan Risdal, Jia Li, Jian Zhu, Terry Yue Zhuo, Evgenii Zheltonozhskii, Nii Osae Osae Dade, Wenhao Yu, Lucas Krauß, Naman Jain, Yixuan Su, Xuanli He, Manan Dey, Edoardo Abati, Yekun Chai, Niklas Muennighoff, Xiangru Tang, Muhtasham Oblokulov, Christopher Akiki, Marc Marone, Chenghao Mou, Mayank Mishra, Alex Gu, Binyuan Hui, Tri Dao, Armel Zebaze, Olivier Dehaene, Nicolas Patry, Canwen Xu, Julian McAuley, Han Hu, Torsten Scholak, Sebastien Paquet, Jennifer Robinson, Carolyn Jane Anderson, Nicolas Chapados, Mostofa Patwary, Nima Tajbakhsh, Yacine Jernite, Carlos Muñoz Ferrandis, Lingming Zhang, Sean Hughes, Thomas Wolf, Arjun Guha, Leandro von Werra, Harm de Vries",2024-02-29,StarCoder 2 and The Stack v2: The Next Generation,https://arxiv.org/abs/2402.19173,,,,15000000000.0,15B,3.87e+23,estimation is given in Table 6 ,913230000000,from Table 4,,,,,Confident,"The BigCode project, an open-scientific collaboration focused on the responsible development of Large Language Models for Code (Code LLMs), introduces StarCoder2. In partnership with Software Heritage (SWH), we build The Stack v2 on top of the digital commons of their source code archive. Alongside the SWH repositories spanning 619 programming languages, we carefully select other high-quality data sources, such as GitHub pull requests, Kaggle notebooks, and code documentation. This results in a training set that is 4x larger than the first StarCoder dataset. We train StarCoder2 models with 3B, 7B, and 15B parameters on 3.3 to 4.3 trillion tokens and thoroughly evaluate them on a comprehensive set of Code LLM benchmarks. We find that our small model, StarCoder2-3B, outperforms other Code LLMs of similar size on most benchmarks, and also outperforms StarCoderBase-15B. Our large model, StarCoder2- 15B, significantly outperforms other models of comparable size. In addition, it matches or outperforms CodeLlama-34B, a model more than twice its size. Although DeepSeekCoder- 33B is the best-performing model at code completion for high-resource languages, we find that StarCoder2-15B outperforms it on math and code reasoning benchmarks, as well as several low-resource languages. We make the model weights available under an OpenRAIL license and ensure full transparency regarding the training data by releasing the SoftWare Heritage persistent IDentifiers (SWHIDs) of the source code data. ",4.49,,Open weights (restricted use),"United States of America,United States of America,United States of America",,,,,,2025-11-28 11:53:44+00:00,,,,4100000.0,Table 7,"Industry,Industry,Industry",,,,,Unreleased,"commercial use allowed, but various use cases restricted: https://huggingface.co/spaces/bigcode/bigcode-model-license-agreement

code is fine-tune only: https://github.com/bigcode-project/starcoder2?tab=readme-ov-file#fine-tuning ",True,,,,,,Reported,,,,,Yes,starcoder215b,0,bigcode-openrail-m,1
StarCoder 2 7B,Language,"Code generation,Code autocompletion","Hugging Face,ServiceNow,NVIDIA,BigCode","Anton Lozhkov, Raymond Li, Loubna Ben Allal, Federico Cassano, Joel Lamy-Poirier, Nouamane Tazi, Ao Tang, Dmytro Pykhtar, Jiawei Liu, Yuxiang Wei, Tianyang Liu, Max Tian, Denis Kocetkov, Arthur Zucker, Younes Belkada, Zijian Wang, Qian Liu, Dmitry Abulkhanov, Indraneil Paul, Zhuang Li, Wen-Ding Li, Megan Risdal, Jia Li, Jian Zhu, Terry Yue Zhuo, Evgenii Zheltonozhskii, Nii Osae Osae Dade, Wenhao Yu, Lucas Krauß, Naman Jain, Yixuan Su, Xuanli He, Manan Dey, Edoardo Abati, Yekun Chai, Niklas Muennighoff, Xiangru Tang, Muhtasham Oblokulov, Christopher Akiki, Marc Marone, Chenghao Mou, Mayank Mishra, Alex Gu, Binyuan Hui, Tri Dao, Armel Zebaze, Olivier Dehaene, Nicolas Patry, Canwen Xu, Julian McAuley, Han Hu, Torsten Scholak, Sebastien Paquet, Jennifer Robinson, Carolyn Jane Anderson, Nicolas Chapados, Mostofa Patwary, Nima Tajbakhsh, Yacine Jernite, Carlos Muñoz Ferrandis, Lingming Zhang, Sean Hughes, Thomas Wolf, Arjun Guha, Leandro von Werra, Harm de Vries",2024-02-29,StarCoder 2 and The Stack v2: The Next Generation,https://arxiv.org/abs/2402.19173,,,,7000000000.0,7B,1.55e+23,estimation is given in Table 6 ,658580000000,from Table 4,,"""A cumulative of 145,152 hours of computation was performed on hardware of type H100""",NVIDIA H100 SXM5 80GB,,Confident,"The BigCode project, an open-scientific collaboration focused on the responsible development of Large Language Models for Code (Code LLMs), introduces StarCoder2. In partnership with Software Heritage (SWH), we build The Stack v2 on top of the digital commons of their source code archive. Alongside the SWH repositories spanning 619 programming languages, we carefully select other high-quality data sources, such as GitHub pull requests, Kaggle notebooks, and code documentation. This results in a training set that is 4x larger than the first StarCoder dataset. We train StarCoder2 models with 3B, 7B, and 15B parameters on 3.3 to 4.3 trillion tokens and thoroughly evaluate them on a comprehensive set of Code LLM benchmarks. We find that our small model, StarCoder2-3B, outperforms other Code LLMs of similar size on most benchmarks, and also outperforms StarCoderBase-15B. Our large model, StarCoder2- 15B, significantly outperforms other models of comparable size. In addition, it matches or outperforms CodeLlama-34B, a model more than twice its size. Although DeepSeekCoder- 33B is the best-performing model at code completion for high-resource languages, we find that StarCoder2-15B outperforms it on math and code reasoning benchmarks, as well as several low-resource languages. We make the model weights available under an OpenRAIL license and ensure full transparency regarding the training data by releasing the SoftWare Heritage persistent IDentifiers (SWHIDs) of the source code data. ",5.31,,Open weights (restricted use),"United States of America,United States of America,United States of America",,,,,,2025-11-28 11:53:44+00:00,,,,3500000.0,,"Industry,Industry,Industry",,,,,Unreleased,"https://huggingface.co/spaces/bigcode/bigcode-model-license-agreement

https://huggingface.co/bigcode/starcoder2-7b

The Responsible AI License allows users to take advantage of the model in a wide range of settings (including free use and redistribution) as long as they respect the specific use case restrictions outlined, which correspond to model applications the licensor deems ill-suited for the model or are likely to cause harm

only finetune code here
https://github.com/bigcode-project/starcoder2",True,,,,,,Reported,bigcode,,,,Yes,starcoder27b,0,bigcode-openrail-m,1
StarCoder 2 3B,Language,"Code generation,Code autocompletion","Hugging Face,ServiceNow,NVIDIA,BigCode","Anton Lozhkov, Raymond Li, Loubna Ben Allal, Federico Cassano, Joel Lamy-Poirier, Nouamane Tazi, Ao Tang, Dmytro Pykhtar, Jiawei Liu, Yuxiang Wei, Tianyang Liu, Max Tian, Denis Kocetkov, Arthur Zucker, Younes Belkada, Zijian Wang, Qian Liu, Dmitry Abulkhanov, Indraneil Paul, Zhuang Li, Wen-Ding Li, Megan Risdal, Jia Li, Jian Zhu, Terry Yue Zhuo, Evgenii Zheltonozhskii, Nii Osae Osae Dade, Wenhao Yu, Lucas Krauß, Naman Jain, Yixuan Su, Xuanli He, Manan Dey, Edoardo Abati, Yekun Chai, Niklas Muennighoff, Xiangru Tang, Muhtasham Oblokulov, Christopher Akiki, Marc Marone, Chenghao Mou, Mayank Mishra, Alex Gu, Binyuan Hui, Tri Dao, Armel Zebaze, Olivier Dehaene, Nicolas Patry, Canwen Xu, Julian McAuley, Han Hu, Torsten Scholak, Sebastien Paquet, Jennifer Robinson, Carolyn Jane Anderson, Nicolas Chapados, Mostofa Patwary, Nima Tajbakhsh, Yacine Jernite, Carlos Muñoz Ferrandis, Lingming Zhang, Sean Hughes, Thomas Wolf, Arjun Guha, Leandro von Werra, Harm de Vries",2024-02-29,StarCoder 2 and The Stack v2: The Next Generation,https://arxiv.org/abs/2402.19173,,,,3000000000.0,3B,5.94e+22,estimation is given in Table 6 ,622090000000,from Table 4,,"""A cumulative of 97,120 hours of computation was performed on hardware of type A100 SXM4 80 GB""",NVIDIA A100 SXM4 80 GB,,Confident,"The BigCode project, an open-scientific collaboration focused on the responsible development of Large Language Models for Code (Code LLMs), introduces StarCoder2. In partnership with Software Heritage (SWH), we build The Stack v2 on top of the digital commons of their source code archive. Alongside the SWH repositories spanning 619 programming languages, we carefully select other high-quality data sources, such as GitHub pull requests, Kaggle notebooks, and code documentation. This results in a training set that is 4x larger than the first StarCoder dataset. We train StarCoder2 models with 3B, 7B, and 15B parameters on 3.3 to 4.3 trillion tokens and thoroughly evaluate them on a comprehensive set of Code LLM benchmarks. We find that our small model, StarCoder2-3B, outperforms other Code LLMs of similar size on most benchmarks, and also outperforms StarCoderBase-15B. Our large model, StarCoder2- 15B, significantly outperforms other models of comparable size. In addition, it matches or outperforms CodeLlama-34B, a model more than twice its size. Although DeepSeekCoder- 33B is the best-performing model at code completion for high-resource languages, we find that StarCoder2-15B outperforms it on math and code reasoning benchmarks, as well as several low-resource languages. We make the model weights available under an OpenRAIL license and ensure full transparency regarding the training data by releasing the SoftWare Heritage persistent IDentifiers (SWHIDs) of the source code data. ",4.98,,Open weights (restricted use),"United States of America,United States of America,United States of America",,,,,,2025-11-28 11:53:44+00:00,,,,,,"Industry,Industry,Industry",,,,,,https://huggingface.co/spaces/bigcode/bigcode-model-license-agreement,,,,,,,Reported,,,,,Yes,starcoder23b,0,bigcode-openrail-m,1
Qwen1.5-32B,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",Alibaba,Qwen Team,2024-02-05,Introducing Qwen1.5,https://qwenlm.github.io/blog/qwen1.5/,,,,32000000000.0,32B,,"upper bound is taken from Qwen1.5 72B training compute estimation

lower bound is taken from Qwen1.5 14B training compute estimation",,,,,,,Confident,"Qwen1.5 is the beta version of Qwen2, a transformer-based decoder-only language model pretrained on a large amount of data. In comparison with the previous released Qwen, the improvements include:

8 model sizes, including 0.5B, 1.8B, 4B, 7B, 14B, 32B and 72B dense models, and an MoE model of 14B with 2.7B activated;
Significant performance improvement in human preference for chat models;
Multilingual support of both base and chat models;
Stable support of 32K context length for models of all sizes
No need of trust_remote_code.",,,Open weights (restricted use),China,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,3.36e+23,1.3e+24,,Unreleased,"https://huggingface.co/Qwen/Qwen1.5-32B
""If you are commercially using the Materials, and your product or service has more than 100 million monthly active users, You shall request a license from Us""",True,,,,,,Operation counting,Qwen,,,,Yes,qwen1532b,0,other,1
Qwen1.5-7B,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",Alibaba,Qwen Team,2024-02-04,Introducing Qwen1.5,https://huggingface.co/Qwen/Qwen1.5-7B,,,,7000000000.0,7B,1.68e+23,6 FLOP / parameter / token * 7*10^9 parameters * 4*10^12 tokens =  1.68e+23 FLOP,,4 trillion tokens from this response https://github.com/QwenLM/Qwen2/issues/97,,,,,Confident,"Qwen1.5 is the beta version of Qwen2, a transformer-based decoder-only language model pretrained on a large amount of data. In comparison with the previous released Qwen, the improvements include:

8 model sizes, including 0.5B, 1.8B, 4B, 7B, 14B, 32B and 72B dense models, and an MoE model of 14B with 2.7B activated;
Significant performance improvement in human preference for chat models;
Multilingual support of both base and chat models;
Stable support of 32K context length for models of all sizes
No need of trust_remote_code.",,,Open weights (unrestricted),China,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,https://huggingface.co/Qwen/Qwen1.5-7B,True,,,,,,Operation counting,Qwen,,,,Yes,qwen157b,0,other,1
Qwen1.5-14B,Language,"Chat,Language modeling/generation,Quantitative reasoning,Code generation,Translation",Alibaba,Qwen Team,2024-02-04,Introducing Qwen1.5,https://huggingface.co/Qwen/Qwen1.5-14B,,,,14000000000.0,14B,3.36e+23,6 FLOP / parameter / token * 14*10^9 parameters * 4*10^12 tokens =  3.36e+23 FLOP,,4 trillion tokens from this response https://github.com/QwenLM/Qwen2/issues/97,,,,,Confident,"Qwen1.5 is the beta version of Qwen2, a transformer-based decoder-only language model pretrained on a large amount of data. In comparison with the previous released Qwen, the improvements include:

8 model sizes, including 0.5B, 1.8B, 4B, 7B, 14B, 32B and 72B dense models, and an MoE model of 14B with 2.7B activated;
Significant performance improvement in human preference for chat models;
Multilingual support of both base and chat models;
Stable support of 32K context length for models of all sizes
No need of trust_remote_code.",,,Open weights (unrestricted),China,,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,Unreleased,https://huggingface.co/Qwen/Qwen1.5-14B,True,,,,,,Operation counting,Qwen,,,,Yes,qwen1514b,0,other,1
StableLM-2-1.6B,Language,Language modeling/generation,Stability AI,Stability AI Language Team,2024-01-18,Stable LM 2 1.6B,https://huggingface.co/stabilityai/stablelm-2-1_6b,,,,1644417024.0,Table under Model Architecture gives exact parameter count,1.92e+22,"6 * 1.6B * 2T = 19200000000000000000000
",2000000000000,"""model pre-trained on 2 trillion tokens of diverse multilingual and code datasets for two epochs.""",,,NVIDIA A100 SXM4 40 GB,Self-supervised learning,Confident,,,,Open weights (non-commercial),United Kingdom of Great Britain and Northern Ireland,,,,512.0,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,,"non-commercial:

https://huggingface.co/stabilityai/stablelm-2-1_6b/blob/main/LICENSE",,,,,,405659.59358954936,Operation counting,stabilityai,,,,Yes,stablelm216b,0,other,1
StableLM - Zephyr 3B,Language,"Language modeling/generation,Question answering",Stability AI,,2023-12-07,"Introducing Stable LM Zephyr 3B: A New Addition to Stable LM, Bringing Powerful LLM Assistants to Edge Devices",https://huggingface.co/stabilityai/stablelm-zephyr-3b,,,,3000000000.0,3B,,,,,,"""Hardware: StableLM Zephyr 3B was trained on the Stability AI cluster across 8 nodes with 8 A100 80GBs GPUs for each nodes.""",NVIDIA A100 SXM4 80 GB,,Confident,"StableLM Zephyr 3B is a 3 billion parameter instruction tuned inspired by HugginFaceH4's Zephyr 7B training pipeline this model was trained on a mix of publicly available datasets, synthetic datasets using Direct Preference Optimization (DPO), evaluation for this model based on MT Bench and Alpaca Benchmark",,,Open weights (restricted use),United Kingdom of Great Britain and Northern Ireland,StableLM-3B-4E1T,,,8.0,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,,"STABILITY AI COMMUNITY LICENSE AGREEMENT

If at any time You or Your Affiliate(s), either individually or in aggregate, generate more than USD $1,000,000 in annual revenue <..> You must request a license from Stability AI ",,,,,,6344.362343983899,,stabilityai,,,,Yes,stablelmzephyr3b,0,other,1
SeaLLM-7B-v2,Language,Chat,Alibaba DAMO Academy,"Xuan-Phi Nguyen, Wenxuan Zhang, Xin Li, Mahani Aljunied, Zhiqiang Hu, Chenhui Shen, Yew Ken Chia, Xingxuan Li, Jianyu Wang, Qingyu Tan, Liying Cheng, Guanzheng Chen, Yue Deng, Sen Yang, Chaoqun Liu, Hang Zhang, Lidong Bing",2023-12-01,SeaLLMs -- Large Language Models for Southeast Asia,https://arxiv.org/abs/2312.00738,,,,7380000000.0,https://huggingface.co/SeaLLMs/SeaLLM-7B-v2,,,,not enough detail,,,,,Confident,"Despite the remarkable achievements of large language models (LLMs) in various tasks, there remains a linguistic bias that favors high-resource languages, such as English, often at the expense of low-resource and regional languages. To address this imbalance, we introduce SeaLLMs, an innovative series of language models that specifically focuses on Southeast Asian (SEA) languages. SeaLLMs are built upon the Llama-2 model and further advanced through continued pre-training with an extended vocabulary, specialized instruction and alignment tuning to better capture the intricacies of regional languages. This allows them to respect and reflect local cultural norms, customs, stylistic preferences, and legal considerations. Our comprehensive evaluation demonstrates that SeaLLM-13b models exhibit superior performance across a wide spectrum of linguistic tasks and assistant-style instruction-following capabilities relative to comparable open-source models. Moreover, they outperform ChatGPT-3.5 in non-Latin languages, such as Thai, Khmer, Lao, and Burmese, by large margins while remaining lightweight and cost-effective to operate.",,,Open weights (unrestricted),China,Mistral 7B,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,,,,,,,,,,,,,,Yes,seallm7bv2,0,other,1
SeaLLM-7B-v2.5,Language,Chat,Alibaba DAMO Academy,"Xuan-Phi Nguyen, Wenxuan Zhang, Xin Li, Mahani Aljunied, Zhiqiang Hu, Chenhui Shen, Yew Ken Chia, Xingxuan Li, Jianyu Wang, Qingyu Tan, Liying Cheng, Guanzheng Chen, Yue Deng, Sen Yang, Chaoqun Liu, Hang Zhang, Lidong Bing",2023-12-01,SeaLLMs -- Large Language Models for Southeast Asia,https://arxiv.org/abs/2312.00738,,,,8540000000.0,https://huggingface.co/SeaLLMs/SeaLLM-7B-v2.5,,,,,,,,,Confident,"Despite the remarkable achievements of large language models (LLMs) in various tasks, there remains a linguistic bias that favors high-resource languages, such as English, often at the expense of low-resource and regional languages. To address this imbalance, we introduce SeaLLMs, an innovative series of language models that specifically focuses on Southeast Asian (SEA) languages. SeaLLMs are built upon the Llama-2 model and further advanced through continued pre-training with an extended vocabulary, specialized instruction and alignment tuning to better capture the intricacies of regional languages. This allows them to respect and reflect local cultural norms, customs, stylistic preferences, and legal considerations. Our comprehensive evaluation demonstrates that SeaLLM-13b models exhibit superior performance across a wide spectrum of linguistic tasks and assistant-style instruction-following capabilities relative to comparable open-source models. Moreover, they outperform ChatGPT-3.5 in non-Latin languages, such as Thai, Khmer, Lao, and Burmese, by large margins while remaining lightweight and cost-effective to operate.",,,Open weights (unrestricted),China,Gemma 7B,,,,,2025-11-28 11:53:44+00:00,,,,,,Industry,,,,,,,,,,,,,,,,,,Yes,seallm7bv25,0,other,1
Orca 2-13B,Language,"Language modeling/generation,Question answering",Microsoft Research,"Arindam Mitra, Luciano Del Corro, Shweti Mahajan, Andres Codas, Clarisse Simoes, Sahaj Agarwal, Xuxi Chen, Anastasia Razdaibiedina, Erik Jones, Kriti Aggarwal, Hamid Palangi, Guoqing Zheng, Corby Rosset, Hamed Khanpour, Ahmed Awadallah",2023-11-21,Orca 2: Teaching Small Language Models How to Reason,"https://arxiv.org/abs/2311.11045, https://huggingface.co/microsoft/Orca-2-13b",176.0,,"""Orca 2 significantly surpasses models of similar size and attains performance levels similar or better
to those of models 5-10x larger, as assessed on complex tasks that test advanced reasoning
abilities in zero-shot settings""",13000000000.0,based on Llama 13B,4.6e+22,4.55e22 base compute from Llama-13 + 8.6e20 finetune compute ~= 4.6e22 ,,"817k training instances, ~1000 tokens per instance. See finetune notes",80.0,"17+40+23 hours

""We trained Orca 2 on 32 NVIDIA A100 GPUs with 80GB memory with bfloat16.
For the 13B checkpoint, it took ~17 hours to train Orca 2 on FLAN dataset for one epoch,
~40 hours to train on 5 million ChatGPT data for 3 epochs and ~23 hours to continue
training on ~1.8 million GPT-4 data for 4 epochs""",NVIDIA A100 SXM4 80 GB,,Confident,"Orca 1 learns from rich signals, such as explanation traces, allowing it to outperform conventional instruction-tuned models on benchmarks like BigBench Hard and AGIEval. In Orca 2, we continue exploring how improved training signals can enhance smaller LMs' reasoning abilities. Research on training small LMs has often relied on imitation learning to replicate the output of more capable models. We contend that excessive emphasis on imitation may restrict the potential of smaller models. We seek to teach small LMs to employ different solution strategies for different tasks, potentially different from the one used by the larger model. For example, while larger models might provide a direct answer to a complex task, smaller models may not have the same capacity. In Orca 2, we teach the model various reasoning techniques (step-by-step, recall then generate, recall-reason-generate, direct answer, etc.). More crucially, we aim to help the model learn to determine the most effective solution strategy for each task. We evaluate Orca 2 using a comprehensive set of 15 diverse benchmarks (corresponding to approximately 100 tasks and over 36,000 unique prompts). Orca 2 significantly surpasses models of similar size and attains performance levels similar or better to those of models 5-10x larger, as assessed on complex tasks that test advanced reasoning abilities in zero-shot settings. make Orca 2 weights publicly available at this http URL to support research on the development, evaluation, and alignment of smaller LMs",,,Open weights (non-commercial),United States of America,LLaMA-13B,8.6e+20,"""We trained Orca 2 on 32 NVIDIA A100 GPUs with 80GB memory with bfloat16.
For the 13B checkpoint, it took ~17 hours to train Orca 2 on FLAN dataset for one epoch, ~40 hours to train on 5 million ChatGPT data for 3 epochs and ~23 hours to continue training on ~1.8 million GPT-4 data for 4 epochs""

32 * (17+40+23) * 3600 * 312 trillion flop/s * 0.3 utilization = 8.6e20

(each 10 hours is ~1e20 flop, so the 5 million ChatGPT data took 4e20 FLOP. 4e20 / 5 million / 13 billion / 6 = 1025, so ~1000 tokens in each example)",,,2026-01-01 14:02:53+00:00,,,,,,Industry,,,,,Unreleased,"non commercial

https://huggingface.co/microsoft/Orca-2-13b/blob/main/LICENSE",,,,,,,Hardware,,,,,Yes,orca213b,0,other,1
StableLM-3B-4E1T,Language,Language generation,Stability AI,"Jonathan Tow, Marco Bellagente, Dakota Mahan, Carlos Riquelme Ruiz",2023-09-29,,https://stability.wandb.io/stability-llm/stable-lm/reports/StableLM-3B-4E1T--VmlldzoyMjU4?accessToken=u3zujipenkx5g7rtcj9qojjgxpconyjktjkli2po09nffrffdhhchq045vp0wyfo,,,,2795443200.0,,6.21e+22,"""StableLM-3B-4E1T was trained on the Stability AI cluster across 256 NVIDIA A100 40GB GPUs (AWS P4d instances). Training began on August 23, 2023, and took approximately 30 days to complete.""

256 * 30 * 24* 3600 * 312 trillion * 0.3 utilization (assumption) = 6.21e22

6ND = 6*2795443200*1000000000000*4 epochs = 6.7090637e+22",1000000000000,Trained on 1T tokens (~750B words),720.0,approximately 30 days,NVIDIA A100,,Confident,"StableLM-3B-4E1T is a 3 billion (3B) parameter language model pre-trained under the multi-epoch regime to study the impact of repeated tokens on downstream performance. Given prior success in this area (Taylor et al., 2022 and Tay et al., 2023), we train on 1 trillion (1T) tokens for 4 epochs following the observations of Muennighoff et al. (2023) in ""Scaling Data-Constrained Language Models"" in which they find ""training with up to 4 epochs of repeated data yields negligible changes to loss compared to having unique data."" Further inspiration for the token count is taken from ""Go smol or go home"" (De Vries, 2023), which suggests a 2.96B model trained for 2.85 trillion tokens achieves a similar loss to a Chinchilla compute-optimal 9.87B language model.",4.0,,Open weights (unrestricted),United Kingdom of Great Britain and Northern Ireland,,,,,,2025-11-28 11:53:44+00:00,,,,4194304.0,"""The batch size is set to 1024 (4,194,304 tokens).""",Industry,,,,,,"cc 4.0
https://creativecommons.org/licenses/by-sa/4.0/",,,,,,,Hardware,,,,,Yes,stablelm3b4e1t,0,cc-by-sa-4.0,1
PULI GPTrio,Language,"Chat,Translation",Hungarian Research Centre for Linguistics,"Zijian Győző Yang, László János Laki, Tamás Váradi & Gábor Prószéky ",2023-08-23,Mono- and Multilingual GPT-3 Models for Hungarian,https://link.springer.com/chapter/10.1007/978-3-031-40498-6_9; https://huggingface.co/NYTK/PULI-GPTrio,,,,6700000000.0,6.7B,5.8e+21,"8 A100s for three months

8 * 312 trillion * 24 * 3600 * 90 * 0.3 (utilization assumption) = 5.8e21",230590476190,"adding up column in Table 2.
41.5 billion Hungarian words * assumed 1 token/word +
61.9 billion English words * 4 tokens / 3 words +
98.7 billion Chinese character * assumed 1 token/character +
33GB of github documents * 1 token / 4.2 bytes * 1e9 bytes/GB =
around 230.6 billion tokens

might be slightly off because it's counting non-Chinese tokens in the Chinese data, rather than non-Chinese words, but close.",2200.0,3 months,NVIDIA A100,,Confident,"In recent years, the growth in size of Transformer-based language models has accelerated significantly. Global technology companies are training larger and larger models that require enormous resources and training data. With these experiments, they aim to demonstrate that sufficiently large models with abundant training data can solve any natural language processing task even without fine-tuning. It may not be feasible to compete directly in this race, but there is an opportunity to conduct experiments in the direction of larger models in their shadow. Our aim is to train large language models for Hungarian. According to the knowledge transfer researches, a language model can adapt valuable knowledge from other languages. Furthermore, in order for the model to be able to solve translation tasks, it also needs multilingual knowledge. In our research, we trained a Hungarian monolingual and a Hungarian-English-Chinese trilingual 6.7 billion parameter GPT language model with more than 1TB text data. In our experiments, we also fine-tuned our model with the prompts provided by the Stanford Alpaca dataset. Thus, employing this methodology, an instruct GPT was built, which, as far as we know, is the first multilingual large language model in this region that can follow instructions.",,,Open weights (non-commercial),Hungary,,,,,,2025-11-28 11:53:44+00:00,,,,,,Academia,,,,,Unreleased,License: cc-by-nc-4.0 (non commercial),,,,,,,Hardware,,,,,Yes,puligptrio,0,cc-by-nc-4.0,1
gpt-sw3-40b,Language,"Language modeling/generation,Chat",AI Sweden,AI Sweden,2023-03-01,gpt-sw3-40b,https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b,,,,40000000000.0,40B,7.68e+22,"aproximation 6ND = 6*320E9*40e9 = 7.68e22
""GPT-SW3 has been trained on a dataset containing 320B tokens in Swedish, Norwegian, Danish, Icelandic, English, and programming code.""",,"320B tokens
""GPT-SW3 has been trained on a dataset containing 320B tokens in Swedish, Norwegian, Danish, Icelandic, English, and programming code.""""",,,,Self-supervised learning,Confident,,,,Open weights (restricted use),Sweden,,,,,,2025-11-28 11:53:44+00:00,,,,,,,,,,,Unreleased,"license, commercial, some ethical restrictions: 
https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b/blob/main/LICENSE",,,,,,,Operation counting,,,,,Yes,gptsw340b,0,other,1
LLaMA-13B,Language,"Language modeling,Code generation",Meta AI,"Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timothée Lacroix, Baptiste Rozière, Naman Goyal, Eric Hambro, Faisal Azhar, Aurelien Rodriguez, Armand Joulin, Edouard Grave, Guillaume Lample",2023-02-27,LLaMA: Open and Efficient Foundation Language Models,https://arxiv.org/abs/2302.13971,17466.0,Highly cited,,13000000000.0,13.0B,7.8e+22,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514",1000000000000,Table 2,,,NVIDIA A100,,Confident,"We introduce LLaMA, a collection of foundation language models ranging from 7B to 65B parameters. We train our models on trillions of tokens, and show that it is possible to train state-of-the-art models using publicly available datasets exclusively, without resorting to proprietary and inaccessible datasets. In particular, LLaMA-13B outperforms GPT-3 (175B) on most benchmarks, and LLaMA-65B is competitive with the best models, Chinchilla-70B and PaLM-540B. We release all our models to the research community.",1.0,LLaMA-13B,Open weights (non-commercial),United States of America,,,,,0.5138339921,2026-01-01 14:02:05+00:00,,,,4000000.0,,Industry,,,,,Unreleased,non-commercial license: https://docs.google.com/forms/d/e/1FAIpQLSfqNECQnMkycAp2jP4Z9TFX0cGR4uf7b_fBxjY_OjhJILlKGA/viewform,,61300.86591335317,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514",,,,Operation counting,,,,,Yes,llama13b,0,other,1
